"Lab","Country","days_since_positive","mean_val","num_patients","stdev_val"
"lactate dehydrogenase (LDH)","SITE_AVE",7,401.778006555635,"NA",192.117899402715
"lactate dehydrogenase (LDH)","USA",7,390.434321783898,"236",208.408944704264
"cardiac troponin","ALL",0,3.68769988121796,"382",24.220429521537
"cardiac troponin","France",0,0.121061728395062,"81",0.466959027797917
"cardiac troponin","Germany",0,16.3908226950355,"45",56.7726969655495
"cardiac troponin","Italy",0,4.5,"83",14.219
"cardiac troponin","SITE_AVE",0,3.68769988121796,"NA",8.87444432407425
"cardiac troponin","USA",0,1.66363198467437,"173",18.0496522613385
"cardiac troponin","ALL",7,2.26297988505747,"116",12.5085424496642
"cardiac troponin","France",7,0.0324375,"16",0.0360517567764272
"cardiac troponin","Germany",7,11.46,"18",30.4379693223873
"cardiac troponin","Italy",7,0.9,"57",2.734
"cardiac troponin","SITE_AVE",7,2.26297988505747,"NA",5.59465933218575
"cardiac troponin","USA",7,0.176266666666667,"25",0.571371255061988
"prothrombin time (PT)","ALL",0,16.1479267193674,"1460",9.2357526344112
"prothrombin time (PT)","France",0,14.1639578125,"640",3.14142704229579
"prothrombin time (PT)","Germany",0,24.5777634130575,"182",18.9433394010785
"prothrombin time (PT)","Italy",0,14.6020710026627,"338",7.07207668912921
"prothrombin time (PT)","SITE_AVE",0,16.1479267193674,"NA",5.59539392849186
"prothrombin time (PT)","USA",0,17.0079569006667,"300",8.14925483805365
"prothrombin time (PT)","ALL",7,17.9473978281181,"480",11.4463408794091
"prothrombin time (PT)","France",7,14.9118148148148,"108",1.82474808476748
"prothrombin time (PT)","Germany",7,29.1787800687285,"97",20.2410494075435
"prothrombin time (PT)","Italy",7,14.3937106938994,"159",4.55437869074464
"prothrombin time (PT)","SITE_AVE",7,17.9473978281181,"NA",5.20020071608008
"prothrombin time (PT)","USA",7,16.2528731939655,"116",6.05839927139175
"white blood cell count (Leukocytes)","ALL",0,7.70740414496275,"2610",6.6503079162869
"white blood cell count (Leukocytes)","France",0,6.77891585760518,"309",3.60316540030956
"white blood cell count (Leukocytes)","Germany",0,8.23743658056295,"89",5.07188775568098
"white blood cell count (Leukocytes)","Italy",0,8.28031250001064,"1504",7.50141295088294
"white blood cell count (Leukocytes)","SITE_AVE",0,7.70740414496275,"NA",6.23175509301545
"white blood cell count (Leukocytes)","USA",0,6.828980173258,"708",5.73061082492423
"white blood cell count (Leukocytes)","ALL",7,8.23366290529954,"1185",6.68622829032959
"white blood cell count (Leukocytes)","France",7,7.88418518518518,"108",4.22277449797086
"white blood cell count (Leukocytes)","Germany",7,9.22388189318281,"49",5.06257108885697
"white blood cell count (Leukocytes)","Italy",7,8.65637482902052,"731",7.74878913391289
"white blood cell count (Leukocytes)","SITE_AVE",7,8.23366290529954,"NA",5.78851952649578
"white blood cell count (Leukocytes)","USA",7,7.15696407407407,"297",4.28115518751578
"lymphocyte count","ALL",0,1.41159520099825,"2513",5.52066003916764
"lymphocyte count","France",0,1.18642412451362,"257",1.27804825681955
"lymphocyte count","Germany",0,1.1004952120383,"85",0.685773092265473
"lymphocyte count","Italy",0,1.68941976443336,"1103",7.62539882666021
"lymphocyte count","SITE_AVE",0,1.41159520099825,"NA",4.4558802383522
"lymphocyte count","USA",0,1.20361015628777,"1068",3.33564849879709
"lymphocyte count","ALL",7,1.21980944443397,"1061",5.27687618199345
