"Lab","days_since_positive","mean","se","ci_95L","ci_95U","total_n"
"albumin",11,2.63964580640351,0.134488354142495,2.37605347594415,2.90323813686287,200
"albumin",12,2.81280359447024,0.125603054090939,2.56662613210377,3.05898105683672,156
"albumin",13,2.92946885300662,0.0965177386562203,2.74029756137118,3.11864014464206,112
"albumin",14,2.99066244271253,0.0517060636849598,2.88932042010768,3.09200446531739,106
"albumin",15,3.00647333683544,0.0460613420414495,2.91619476535462,3.09675190831626,93
"albumin",16,3.03114626280027,0.0420820154407527,2.94866702813953,3.113625497461,74
"albumin",17,2.99803275464645,0.0526842766113646,2.89477346993663,3.10129203935627,60
"albumin",18,3.08896582346514,0.0614658575783044,2.96849495633279,3.20943669059748,53
"albumin",19,3.12814027989001,0.0690808312793717,2.99274433856035,3.26353622121967,58
"aspartate aminotransferase (AST)",-2,43.9406508771614,4.3419958582326,35.4304953740034,52.4508063803194,163
"aspartate aminotransferase (AST)",-1,51.552380322295,3.83241062744775,44.0409935185289,59.0637671260611,305
"aspartate aminotransferase (AST)",0,58.941255126723,3.89541239702831,51.3063871236167,66.5761231298294,1132
"aspartate aminotransferase (AST)",1,56.8908249597124,3.18740436932319,50.6436271916733,63.1380227277514,2876
"aspartate aminotransferase (AST)",2,67.3900579121853,6.9556137494175,53.7573054729554,81.0228103514152,1619
"aspartate aminotransferase (AST)",3,59.3989687393161,7.77162974227372,44.1668543432793,74.6310831353529,1443
"aspartate aminotransferase (AST)",4,65.6706859804748,4.8430095365029,56.1785617121451,75.1628102488045,1221
"aspartate aminotransferase (AST)",5,65.2589491837645,5.50531985064348,54.4687205531299,76.0491778143992,1095
"aspartate aminotransferase (AST)",6,65.7649494600317,5.68725107678882,54.618142178489,76.9117567415744,1038
"aspartate aminotransferase (AST)",7,65.8162319167198,5.01155372448804,55.9937671101357,75.6386967233039,893
"aspartate aminotransferase (AST)",8,69.1453368054318,2.35321340538387,64.5331232829425,73.757550327921,753
"aspartate aminotransferase (AST)",9,66.5781857540898,3.45556501945777,59.8054027697161,73.3509687384635,654
"aspartate aminotransferase (AST)",10,63.1864168834432,5.49839681468365,52.4097571539535,73.9630766129329,578
"aspartate aminotransferase (AST)",11,55.839029071339,2.47852737044933,50.9812046905616,60.6968534521165,492
"aspartate aminotransferase (AST)",12,56.021234309332,3.05409244363489,50.0353231143517,62.0071455043123,413
"aspartate aminotransferase (AST)",13,57.218545735296,3.8995905432174,49.5754887161369,64.8616027544551,329
"aspartate aminotransferase (AST)",14,66.2211177435202,5.02901167540256,56.3644359818997,76.0777995051406,312
"aspartate aminotransferase (AST)",15,70.5895834524067,8.66868895730543,53.5992653029079,87.5799016019054,271
