"Lab","days_since_positive","France-01","France-02","Germany-02","Germany-01","Germany-03","Italy-01","Italy-03","Italy-02","USA-03","USA-08","USA-11","USA-01","USA-04","USA-07","USA-06","USA-02","USA-10","USA-05","USA-09","USA-12","France","Germany","Italy","US"
"white blood cell count (Leukocytes)","3",0.505434782608696,0.448,0.710843373493976,NA,NA,NA,0.587301587301587,0.595766129032258,0.755725190839695,0.620192307692308,0.857142857142857,NA,0.710526315789474,NA,NA,NA,NA,NA,NA,NA,0.482200647249191,0.641304347826087,0.585478547854785,0.593220338983051
"white blood cell count (Leukocytes)","4",0.407608695652174,0.416,0.614457831325301,NA,NA,NA,0.474206349206349,0.524193548387097,0.687022900763359,0.555288461538462,0.714285714285714,NA,0.552631578947368,NA,NA,NA,NA,NA,NA,NA,0.411003236245955,0.554347826086957,0.500990099009901,0.525423728813559
"white blood cell count (Leukocytes)","5",0.33695652173913,0.296,0.530120481927711,NA,NA,NA,0.44047619047619,0.487903225806452,0.480916030534351,0.444711538461538,0.619047619047619,NA,0.447368421052632,NA,NA,NA,NA,NA,NA,NA,0.320388349514563,0.478260869565217,0.466006600660066,0.411016949152542
"white blood cell count (Leukocytes)","6",0.28804347826087,0.368,0.542168674698795,NA,NA,NA,0.380952380952381,0.493951612903226,0.435114503816794,0.377403846153846,0.476190476190476,NA,0.447368421052632,NA,NA,NA,NA,NA,NA,NA,0.320388349514563,0.489130434782609,0.45016501650165,0.354519774011299
"white blood cell count (Leukocytes)","7",0.260869565217391,0.264,0.457831325301205,NA,NA,NA,0.349206349206349,0.451612903225806,0.297709923664122,0.298076923076923,0.571428571428571,NA,0.342105263157895,NA,NA,NA,NA,NA,NA,NA,0.262135922330097,0.41304347826087,0.411881188118812,0.282485875706215
"white blood cell count (Leukocytes)","8",0.228260869565217,0.264,0.397590361445783,NA,NA,NA,0.30952380952381,0.378024193548387,0.251908396946565,0.230769230769231,0.476190476190476,NA,0.263157894736842,NA,NA,NA,NA,NA,NA,NA,0.242718446601942,0.358695652173913,0.35049504950495,0.224576271186441
"white blood cell count (Leukocytes)","9",0.206521739130435,0.24,0.349397590361446,NA,NA,NA,0.313492063492063,0.361895161290323,0.229007633587786,0.163461538461538,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.220064724919094,0.315217391304348,0.341254125412541,0.15819209039548
"white blood cell count (Leukocytes)","10",0.168478260869565,0.168,0.27710843373494,NA,NA,NA,0.28968253968254,0.329637096774194,0.175572519083969,0.137019230769231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.168284789644013,0.25,0.312211221122112,0.112994350282486
"white blood cell count (Leukocytes)","11",0.135869565217391,0.152,0.313253012048193,NA,NA,NA,0.246031746031746,0.289314516129032,0.099236641221374,0.09375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.142394822006472,0.282608695652174,0.271287128712871,0.0734463276836158
"white blood cell count (Leukocytes)","12",0.114130434782609,0.136,0.253012048192771,NA,NA,NA,0.212301587301587,0.286290322580645,NA,0.0745192307692308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122977346278317,0.228260869565217,0.258085808580858,0.0437853107344633
